# world_size=24  backend=nccl  warmup=5 iters=15
#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.138         0.00         0.00
         16B            4      0.136         0.00         0.00
         32B            8      0.141         0.00         0.00
         64B           16      0.136         0.00         0.00
        128B           32      0.135         0.00         0.00
        256B           64      0.136         0.00         0.00
        512B          128      0.134         0.00         0.01
         1KB          256      0.134         0.01         0.01
         2KB          512      0.137         0.01         0.03
         4KB         1024      0.153         0.03         0.05
         8KB         2048      0.201         0.04         0.08
        16KB         4096      0.160         0.10         0.20
        32KB         8192      0.158         0.21         0.40
        64KB        16384      0.158         0.42         0.80
       128KB        32768      0.159         0.83         1.58
       256KB        65536      0.164         1.60         3.06
       512KB       131072      0.170         3.09         5.91
         1MB       262144      0.179         5.84        11.20
         2MB       524288      0.201        10.42        19.96
         4MB      1048576      0.303        13.86        26.56
         8MB      2097152      0.349        24.07        46.13
        16MB      4194304      0.395        42.52        81.50
        32MB      8388608      0.604        55.53       106.44
        64MB     16777216      0.952        70.52       135.15
       128MB     33554432      1.575        85.24       163.37
       256MB     67108864      3.209        83.66       160.34
       512MB    134217728      5.982        89.75       172.03
         1GB    268435456     11.183        96.01       184.03
         2GB    536870912     22.751        94.39       180.91
# done
