# world_size=8  backend=nccl  warmup=5 iters=15
#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.043         0.00         0.00
         16B            4      0.027         0.00         0.00
         32B            8      0.023         0.00         0.00
         64B           16      0.027         0.00         0.00
        128B           32      0.024         0.01         0.01
        256B           64      0.023         0.01         0.02
        512B          128      0.033         0.02         0.03
         1KB          256      0.030         0.03         0.06
         2KB          512      0.023         0.09         0.16
         4KB         1024      0.027         0.15         0.27
         8KB         2048      0.023         0.36         0.62
        16KB         4096      0.024         0.68         1.19
        32KB         8192      0.027         1.21         2.11
        64KB        16384      0.025         2.60         4.55
       128KB        32768      0.027         4.78         8.36
       256KB        65536      0.027         9.64        16.87
       512KB       131072      0.029        18.15        31.76
         1MB       262144      0.033        31.99        55.98
         2MB       524288      0.040        52.14        91.25
         4MB      1048576      0.053        78.78       137.86
         8MB      2097152      0.076       109.81       192.17
        16MB      4194304      0.119       141.32       247.31
        32MB      8388608      0.200       167.57       293.25
        64MB     16777216      0.325       206.44       361.28
       128MB     33554432      0.585       229.41       401.47
       256MB     67108864      1.111       241.51       422.65
       512MB    134217728      2.144       250.45       438.28
         1GB    268435456      4.011       267.73       468.53
         2GB    536870912      7.906       271.62       475.34
# done
