# cmd: bash -lc kubectl\ --context\ gke_hdlab-elideng_asia-east1-c_hypercomputer-a3-asiaeast1\ logs\ -f\ train-pipeline-worker-0-0-lzm89\ 2\>\&1\ \|\ grep\ -E\ \'pipeline\|mounted\|node_rank\'\ 
{"timestamp":{"seconds":1785123288,"nanos":489915698},"severity":"INFO","message":"File system has been successfully mounted.","mount-id":"hdlab-elideng-lab-data-asiaeast1-e2c81cf6"}
host=gke-hypercomputer-a3-a3-high-flex-poo-27562461-lq6m mounted gs://hdlab-elideng-lab-data-asiaeast1 at /data ; train shards: 8
host=gke-hypercomputer-a3-a3-high-flex-poo-27562461-lq6m node_rank=0 master=train-pipeline-worker-0-0.train-pipeline world=16
[pipeline] world=16 shards=8 D=256 rows/rank=100000 read=1.3s steps=4000 batch=8192
[pipeline] step 3300/4000  loss=0.0105  3.13M samples/s  (432.5M seen)
[pipeline] step 3350/4000  loss=0.0109  3.13M samples/s  (439.1M seen)
[pipeline] step 3400/4000  loss=0.0092  3.14M samples/s  (445.6M seen)
[pipeline] step 3450/4000  loss=0.0090  3.15M samples/s  (452.2M seen)
[pipeline] step 3500/4000  loss=0.1428  3.15M samples/s  (458.8M seen)
[pipeline] step 3550/4000  loss=0.0091  3.16M samples/s  (465.3M seen)
[pipeline] step 3600/4000  loss=0.0087  3.17M samples/s  (471.9M seen)
[pipeline] step 3650/4000  loss=0.0086  3.18M samples/s  (478.4M seen)
[pipeline] step 3700/4000  loss=0.0583  3.18M samples/s  (485.0M seen)
[pipeline] step 3750/4000  loss=0.0099  3.19M samples/s  (491.5M seen)
[pipeline] step 3800/4000  loss=0.0082  3.20M samples/s  (498.1M seen)
[pipeline] step 3850/4000  loss=0.1722  3.20M samples/s  (504.6M seen)
[pipeline] step 3900/4000  loss=0.0084  3.21M samples/s  (511.2M seen)
[pipeline] step 3950/4000  loss=0.0078  3.21M samples/s  (517.7M seen)
[pipeline] step 4000/4000  loss=0.0076  3.22M samples/s  (524.3M seen)
[pipeline] CKPT step 4000 -> /data/checkpoints/pipeline/step_4000.pt  (2.98s, GCSFuse write)
[pipeline] DONE 4000 steps in 165.8s
node_rank=0 done rc=0
