#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.175         0.00         0.00
         16B            4      0.109         0.00         0.00
         32B            8      0.109         0.00         0.00
         64B           16      0.104         0.00         0.00
        128B           32      0.100         0.00         0.00
        256B           64      0.106         0.00         0.00
        512B          128      0.106         0.00         0.01
         1KB          256      0.114         0.01         0.02
         2KB          512      0.132         0.02         0.03
         4KB         1024      0.146         0.03         0.05
         8KB         2048      0.148         0.06         0.10
        16KB         4096      0.209         0.08         0.15
        32KB         8192      0.200         0.16         0.31
        64KB        16384      0.318         0.21         0.39
       128KB        32768      0.349         0.38         0.70
       256KB        65536      0.367         0.72         1.34
       512KB       131072      0.379         1.38         2.59
         1MB       262144      0.440         2.38         4.47
         2MB       524288      0.680         3.08         5.78
         4MB      1048576      1.182         3.55         6.65
         8MB      2097152      1.487         5.64        10.57
        16MB      4194304      2.081         8.06        15.11
        32MB      8388608      3.396         9.88        18.53
        64MB     16777216      5.925        11.33        21.24
       128MB     33554432     11.908        11.27        21.13
       256MB     67108864     21.917        12.25        22.96
       512MB    134217728     42.466        12.64        23.70
         1GB    268435456     93.413        11.49        21.55
# done
