#       size        count    time_ms   algbw_GBps   busbw_GBps
          8B            2      0.040         0.00         0.00
         16B            4      0.036         0.00         0.00
         32B            8      0.036         0.00         0.00
         64B           16      0.034         0.00         0.00
        128B           32      0.035         0.00         0.01
        256B           64      0.037         0.01         0.01
        512B          128      0.036         0.01         0.02
         1KB          256      0.036         0.03         0.05
         2KB          512      0.037         0.06         0.10
         4KB         1024      0.037         0.11         0.20
         8KB         2048      0.035         0.23         0.41
        16KB         4096      0.035         0.47         0.81
        32KB         8192      0.034         0.97         1.70
        64KB        16384      0.036         1.83         3.20
       128KB        32768      0.037         3.57         6.24
       256KB        65536      0.037         7.11        12.44
       512KB       131072      0.038        13.78        24.11
         1MB       262144      0.037        28.17        49.31
         2MB       524288      0.040        51.83        90.70
         4MB      1048576      0.053        79.17       138.56
         8MB      2097152      0.077       109.33       191.32
        16MB      4194304      0.120       140.09       245.16
        32MB      8388608      0.199       168.27       294.47
        64MB     16777216      0.324       207.00       362.26
       128MB     33554432      0.592       226.80       396.89
       256MB     67108864      1.119       239.98       419.96
       512MB    134217728      2.159       248.66       435.16
         1GB    268435456      4.037       265.96       465.43
# done
