# cmd: kubectl exec gpu-health-wb -- nvidia-smi dmon -s pucvmet -c 20
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    1    704     63     61    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     21     10 
    2    695     61     61    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21     10 
    3    697     62     59    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     21     10 
    4    698     66     63    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      8 
    5    698     56     57    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    6    695     64     60    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     23      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    700     62     61    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    1    698     63     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    2    697     61     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    3    697     62     60    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     21      8 
    4    697     66     63    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     20      8 
    5    701     57     56    100     43      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    6    697     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    695     62     61    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    1    698     63     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    2    698     62     62    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    3    699     62     59    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     21      8 
    4    699     67     63    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    5    700     56     56    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    6    698     64     61    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    701     63     61    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    1    700     63     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21     10 
    2    698     62     62    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22     10 
    3    697     62     60    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     21      9 
    4    697     66     62    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      8 
    5    698     56     57    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    6    697     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    700     62     60    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      8 
    1    700     63     61    100     42      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     21      9 
    2    699     62     62    100     43      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21      9 
    3    699     62     61    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    4    697     67     64    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     20      8 
    5    696     56     56    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    6    698     64     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     22      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    697     63     62    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    1    701     63     61    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     22      9 
    2    698     62     63    100     43      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    3    698     62     59    100     43      0      0      0      0   2619   1395    100      0   1357   1358      0      0      0      0     21      8 
    4    696     67     63    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    5    698     56     56    100     43      0      0      0      0   2619   1350    100      0   1357   1358      0      0      0      0     22      9 
    6    697     64     60    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     23      9 
    7     67     32     40      0      0      0      0      0      0   2619    345      0      0      0      1      0      0      0      0      0      0 
    0    697     63     62    100     42      0      0      0      0   2619   1380    100      0   1357   1358      0      0      0      0     21      9 
    1    700     63     61    100     42      0      0      0      0   2619   1365    100      0   1357   1358      0      0      0      0     21     10 
